alg,benchmark,constant,numruns,instance,evals_to_tol_0,evals_to_tol_1,evals_to_tol_2,evals_to_tol_3,evals_to_tol_4,evals_to_tol_5,evals_to_tol_6,evals_to_tol_7,evals_to_tol_8,evals_to_tol_9
ftg,nguyen5,koza-erc,100,42,3,10,45,45,45,45,140,269,1200,1000000000
ftg,nguyen5,koza-erc,100,53,3,76,116,221,339,379,474,528,528,528
ftg,nguyen5,koza-erc,100,54,3,21,61,142,201,201,272,555,555,1000000000
ftg,nguyen5,koza-erc,100,5,3,10,19,231,382,382,425,425,474,1000000000
ftg,nguyen5,koza-erc,100,17,3,60,98,200,234,234,302,646,1445,1445
ftg,nguyen5,koza-erc,100,74,3,44,96,254,290,290,375,542,542,542
ftg,nguyen5,koza-erc,100,36,3,15,113,350,350,388,388,500,500,1000000000
ftg,nguyen5,koza-erc,100,16,3,10,95,166,293,333,426,491,491,491
ftg,nguyen5,koza-erc,100,49,3,11,101,101,101,101,101,395,672,1000000000
ftg,nguyen5,koza-erc,100,60,3,60,232,298,298,298,335,414,755,1000000000
ftg,nguyen5,koza-erc,100,24,3,98,177,271,308,430,529,529,529,529
ftg,nguyen5,koza-erc,100,80,3,30,77,77,193,303,563,563,563,563
ftg,nguyen5,koza-erc,100,9,3,97,199,295,295,383,426,475,526,526
ftg,nguyen5,koza-erc,100,44,3,60,144,172,416,416,461,571,571,571
ftg,nguyen5,koza-erc,100,91,3,10,19,227,258,301,419,419,419,419
ftg,nguyen5,koza-erc,100,23,3,23,51,51,200,417,474,567,567,567
ftg,nguyen5,koza-erc,100,13,3,31,61,146,265,378,508,552,552,552
ftg,nguyen5,koza-erc,100,31,3,20,59,59,59,103,244,6454,12463,12463
ftg,nguyen5,koza-erc,100,57,3,19,59,59,59,135,403,586,790,790
ftg,nguyen5,koza-erc,100,71,3,77,77,140,140,401,454,454,546,546
ftg,nguyen5,koza-erc,100,35,3,30,170,293,293,293,726,1028,1028,1028
ftg,nguyen5,koza-erc,100,67,3,31,44,222,410,410,460,537,537,537
ftg,nguyen5,koza-erc,100,11,3,115,115,163,289,444,601,601,601,601
ftg,nguyen5,koza-erc,100,21,3,20,79,121,144,264,302,578,578,1000000000
ftg,nguyen5,koza-erc,100,84,3,10,121,379,1525,1657,1657,6163,6163,6163
ftg,nguyen5,koza-erc,100,83,3,30,96,118,170,349,461,1206,1348,1000000000
ftg,nguyen5,koza-erc,100,62,3,21,32,199,228,380,651,651,651,651
ftg,nguyen5,koza-erc,100,73,3,19,59,105,178,268,432,642,642,642
ftg,nguyen5,koza-erc,100,28,3,60,118,141,228,334,422,537,537,537
ftg,nguyen5,koza-erc,100,27,3,31,98,119,149,311,397,397,676,676
ftg,nguyen5,koza-erc,100,92,3,19,30,30,30,30,65,195,294,1000000000
ftg,nguyen5,koza-erc,100,72,3,10,58,75,75,75,75,168,353,1000000000
ftg,nguyen5,koza-erc,100,64,3,10,98,173,337,468,468,468,468,1000000000
ftg,nguyen5,koza-erc,100,52,3,37,67,128,206,280,353,353,353,1000000000
ftg,nguyen5,koza-erc,100,7,3,45,143,196,407,494,494,569,569,569
ftg,nguyen5,koza-erc,100,51,3,60,143,292,409,462,681,681,681,681
ftg,nguyen5,koza-erc,100,82,3,21,47,47,47,150,377,511,771,771
ftg,nguyen5,koza-erc,100,3,3,31,119,622,782,1131,1131,1131,1131,1131
ftg,nguyen5,koza-erc,100,39,3,44,78,144,144,344,344,653,653,653
ftg,nguyen5,koza-erc,100,33,3,10,21,21,101,308,436,673,673,1000000000
ftg,nguyen5,koza-erc,100,38,3,20,79,171,413,508,508,508,508,508
ftg,nguyen5,koza-erc,100,19,3,58,101,145,232,263,350,542,542,542
ftg,nguyen5,koza-erc,100,76,3,10,78,186,473,473,525,525,525,525
ftg,nguyen5,koza-erc,100,79,3,31,31,108,179,271,482,534,534,1000000000
ftg,nguyen5,koza-erc,100,96,3,58,77,98,229,315,464,464,464,1000000000
ftg,nguyen5,koza-erc,100,75,3,19,45,65,177,243,243,393,1864,1000000000
ftg,nguyen5,koza-erc,100,93,3,20,144,144,144,144,205,236,276,1000000000
ftg,nguyen5,koza-erc,100,48,3,19,61,233,389,471,525,525,525,525
ftg,nguyen5,koza-erc,100,68,3,10,121,121,257,366,409,510,510,510
ftg,nguyen5,koza-erc,100,70,3,89,180,180,380,428,1932,1932,1932,1932
ftg,nguyen5,koza-erc,100,50,3,62,81,100,100,156,218,445,523,523
ftg,nguyen5,koza-erc,100,89,3,12,45,45,177,349,387,387,387,1000000000
ftg,nguyen5,koza-erc,100,8,3,10,59,59,59,119,430,493,681,681
ftg,nguyen5,koza-erc,100,69,3,44,44,44,186,243,409,676,676,1000000000
ftg,nguyen5,koza-erc,100,20,3,20,45,119,143,235,302,401,1413,1000000000
ftg,nguyen5,koza-erc,100,85,3,10,99,265,6249,6249,6249,6249,6249,6249
ftg,nguyen5,koza-erc,100,15,3,31,44,59,153,276,495,831,831,831
ftg,nguyen5,koza-erc,100,59,3,19,43,117,140,140,289,576,1245,1245
ftg,nguyen5,koza-erc,100,40,3,10,118,118,118,118,340,550,550,550
ftg,nguyen5,koza-erc,100,66,3,19,77,173,424,468,516,516,516,516
ftg,nguyen5,koza-erc,100,25,3,30,120,171,234,389,389,966,966,1000000000
ftg,nguyen5,koza-erc,100,97,3,21,47,125,336,336,974,974,974,1000000000
ftg,nguyen5,koza-erc,100,4,3,60,167,196,3956,3956,4162,6084,6084,6084
ftg,nguyen5,koza-erc,100,88,3,43,139,165,265,459,459,508,508,508
ftg,nguyen5,koza-erc,100,43,3,21,38,51,51,85,274,547,547,547
ftg,nguyen5,koza-erc,100,55,3,45,102,296,472,564,564,564,564,564
ftg,nguyen5,koza-erc,100,99,3,59,97,97,97,342,549,664,664,1000000000
ftg,nguyen5,koza-erc,100,81,3,43,59,77,77,246,316,354,670,670
ftg,nguyen5,koza-erc,100,29,3,12,35,126,239,239,404,456,798,798
ftg,nguyen5,koza-erc,100,77,3,30,118,142,142,142,142,406,533,1000000000
ftg,nguyen5,koza-erc,100,98,3,61,166,166,166,224,436,785,785,785
ftg,nguyen5,koza-erc,100,65,3,19,44,97,199,232,468,677,990,990
ftg,nguyen5,koza-erc,100,78,3,77,127,151,179,306,416,632,862,862
ftg,nguyen5,koza-erc,100,37,3,78,78,119,224,502,603,603,603,603
ftg,nguyen5,koza-erc,100,90,3,34,99,144,231,301,375,1080,1080,1080
ftg,nguyen5,koza-erc,100,12,3,11,31,76,216,668,668,750,750,750
ftg,nguyen5,koza-erc,100,45,3,64,100,100,150,206,278,528,627,1000000000
ftg,nguyen5,koza-erc,100,56,3,34,34,100,100,128,339,461,605,605
ftg,nguyen5,koza-erc,100,14,3,103,124,148,296,702,37885,37885,37885,37885
ftg,nguyen5,koza-erc,100,47,3,32,195,195,195,195,238,507,555,1000000000
ftg,nguyen5,koza-erc,100,86,3,45,60,60,172,208,334,526,663,1000000000
ftg,nguyen5,koza-erc,100,22,3,20,100,100,304,304,304,795,3129,3129
ftg,nguyen5,koza-erc,100,58,3,45,45,97,195,291,398,398,446,1000000000
ftg,nguyen5,koza-erc,100,87,3,44,119,142,381,462,559,559,559,559
ftg,nguyen5,koza-erc,100,61,3,30,61,61,61,61,340,469,1326,1326
ftg,nguyen5,koza-erc,100,46,3,45,60,230,230,420,512,512,512,512
ftg,nguyen5,koza-erc,100,32,3,33,102,203,302,386,386,655,784,784
ftg,nguyen5,koza-erc,100,6,3,30,59,229,229,427,533,533,3071,3071
ftg,nguyen5,koza-erc,100,63,3,19,78,173,275,395,567,567,1204,1204
ftg,nguyen5,koza-erc,100,95,3,59,140,255,372,411,527,527,527,527
ftg,nguyen5,koza-erc,100,26,3,10,30,60,60,60,77,252,1612,1612
ftg,nguyen5,koza-erc,100,30,3,62,79,142,196,196,314,437,631,631
ftg,nguyen5,koza-erc,100,1,3,21,21,80,149,355,478,478,773,773
ftg,nguyen5,koza-erc,100,0,3,79,79,310,345,426,426,650,650,650
ftg,nguyen5,koza-erc,100,41,3,62,145,195,289,362,692,868,868,868
ftg,nguyen5,koza-erc,100,34,3,46,142,142,383,468,468,511,511,511
ftg,nguyen5,koza-erc,100,18,3,22,83,83,103,213,267,503,725,725
ftg,nguyen5,koza-erc,100,94,3,76,76,223,326,363,426,426,495,1000000000
ftg,nguyen5,koza-erc,100,2,3,47,79,232,266,336,621,621,778,778
ftg,nguyen5,koza-erc,100,10,3,30,76,118,309,520,566,566,566,566
ftg,nguyen7,koza-erc,100,42,10,19,45,60,60,351,520,520,676,1000000000
ftg,nguyen7,koza-erc,100,53,31,76,95,95,139,164,164,375,798,798
ftg,nguyen7,koza-erc,100,54,11,21,21,142,170,240,304,339,610,610
ftg,nguyen7,koza-erc,100,5,10,19,19,59,59,396,556,556,556,556
ftg,nguyen7,koza-erc,100,17,31,60,60,60,77,77,242,510,642,1000000000
ftg,nguyen7,koza-erc,100,74,19,19,19,168,195,300,449,1081,1081,1081
ftg,nguyen7,koza-erc,100,36,15,132,155,155,155,210,423,505,604,604
ftg,nguyen7,koza-erc,100,16,19,59,59,95,164,209,422,3033,3033,3033
ftg,nguyen7,koza-erc,100,49,11,20,32,61,81,81,409,409,765,1000000000
ftg,nguyen7,koza-erc,100,60,10,10,45,60,82,82,257,596,596,1000000000
ftg,nguyen7,koza-erc,100,24,43,43,43,241,241,241,289,326,604,1000000000
ftg,nguyen7,koza-erc,100,80,19,30,30,61,138,229,229,448,4439,1000000000
ftg,nguyen7,koza-erc,100,9,46,46,61,145,231,383,383,473,517,517
ftg,nguyen7,koza-erc,100,44,19,19,19,100,100,303,380,380,504,1000000000
ftg,nguyen7,koza-erc,100,91,10,43,43,76,169,200,388,521,706,706
ftg,nguyen7,koza-erc,100,23,10,10,36,84,84,135,441,760,854,854
ftg,nguyen7,koza-erc,100,13,31,31,61,78,78,122,180,697,864,1000000000
ftg,nguyen7,koza-erc,100,31,11,11,20,59,59,355,523,635,635,635
ftg,nguyen7,koza-erc,100,57,10,10,10,59,59,132,269,412,754,754
ftg,nguyen7,koza-erc,100,71,31,31,77,142,142,142,312,914,914,914
ftg,nguyen7,koza-erc,100,35,10,10,19,123,207,207,354,354,462,462
ftg,nguyen7,koza-erc,100,67,31,59,59,117,228,375,478,478,673,673
ftg,nguyen7,koza-erc,100,11,94,94,94,191,191,191,191,539,539,1000000000
ftg,nguyen7,koza-erc,100,21,10,10,44,121,121,268,302,434,539,539
ftg,nguyen7,koza-erc,100,84,10,19,19,125,148,251,463,510,567,1000000000
ftg,nguyen7,koza-erc,100,83,19,19,19,77,204,273,360,504,641,641
ftg,nguyen7,koza-erc,100,62,21,32,99,120,120,277,385,436,859,859
ftg,nguyen7,koza-erc,100,73,30,30,30,43,67,105,156,970,970,1000000000
ftg,nguyen7,koza-erc,100,28,60,60,77,77,146,233,707,707,6914,6914
ftg,nguyen7,koza-erc,100,27,10,31,31,98,98,191,530,530,530,530
ftg,nguyen7,koza-erc,100,92,19,30,48,48,107,132,247,352,569,1000000000
ftg,nguyen7,koza-erc,100,72,10,58,75,94,140,140,167,324,1474,1474
ftg,nguyen7,koza-erc,100,64,20,31,31,31,149,174,297,372,502,1000000000
ftg,nguyen7,koza-erc,100,52,24,24,67,107,151,183,306,540,927,1000000000
ftg,nguyen7,koza-erc,100,7,19,78,143,143,143,198,273,318,486,1000000000
ftg,nguyen7,koza-erc,100,51,32,32,45,45,228,295,541,737,737,737
ftg,nguyen7,koza-erc,100,82,21,32,32,47,47,212,283,464,2484,2484
ftg,nguyen7,koza-erc,100,3,10,10,31,119,259,259,404,1086,1086,1086
ftg,nguyen7,koza-erc,100,39,10,19,19,44,61,61,61,103,227,1000000000
ftg,nguyen7,koza-erc,100,33,10,32,45,62,101,242,280,7737,56747,1000000000
ftg,nguyen7,koza-erc,100,38,11,32,32,47,47,108,464,506,669,669
ftg,nguyen7,koza-erc,100,19,10,10,30,43,43,67,280,495,538,1000000000
ftg,nguyen7,koza-erc,100,76,44,78,97,122,149,212,398,555,555,555
ftg,nguyen7,koza-erc,100,79,10,10,10,44,68,68,165,2288,9428,1000000000
ftg,nguyen7,koza-erc,100,96,10,10,19,78,78,277,370,561,561,561
ftg,nguyen7,koza-erc,100,75,32,45,45,83,83,83,83,4716,4716,4716
ftg,nguyen7,koza-erc,100,93,20,31,77,120,120,169,276,385,435,1000000000
ftg,nguyen7,koza-erc,100,48,30,61,78,97,236,343,587,648,648,648
ftg,nguyen7,koza-erc,100,68,10,46,46,121,145,145,353,514,620,620
ftg,nguyen7,koza-erc,100,70,10,10,19,155,155,155,405,442,503,1000000000
ftg,nguyen7,koza-erc,100,50,19,19,45,81,180,352,605,605,605,605
ftg,nguyen7,koza-erc,100,89,12,32,32,60,60,241,443,577,577,577
ftg,nguyen7,koza-erc,100,8,10,95,95,116,174,236,236,401,724,1000000000
ftg,nguyen7,koza-erc,100,69,10,10,10,44,60,114,192,369,908,1000000000
ftg,nguyen7,koza-erc,100,20,10,20,20,45,45,95,379,515,716,1000000000
ftg,nguyen7,koza-erc,100,85,10,60,77,77,265,350,466,466,2002,2002
ftg,nguyen7,koza-erc,100,15,10,10,10,77,77,117,218,452,580,580
ftg,nguyen7,koza-erc,100,59,19,43,140,166,166,166,258,534,849,849
ftg,nguyen7,koza-erc,100,40,30,44,44,59,59,148,425,474,544,1000000000
ftg,nguyen7,koza-erc,100,66,30,30,30,58,58,310,386,386,386,1000000000
ftg,nguyen7,koza-erc,100,25,19,19,19,75,75,431,536,768,768,768
ftg,nguyen7,koza-erc,100,97,21,47,47,47,47,128,178,275,495,1000000000
ftg,nguyen7,koza-erc,100,4,10,60,60,77,143,170,297,507,725,725
ftg,nguyen7,koza-erc,100,88,43,58,58,96,117,146,506,657,657,1000000000
ftg,nguyen7,koza-erc,100,43,10,10,10,38,85,163,364,568,568,1000000000
ftg,nguyen7,koza-erc,100,55,10,10,45,80,231,231,305,444,677,677
ftg,nguyen7,koza-erc,100,99,10,30,97,97,292,5022,8162,27980,27980,27980
ftg,nguyen7,koza-erc,100,81,30,43,59,77,77,77,287,287,631,1000000000
ftg,nguyen7,koza-erc,100,29,35,35,65,84,153,211,318,795,795,1000000000
ftg,nguyen7,koza-erc,100,77,30,30,30,61,61,61,153,343,840,840
ftg,nguyen7,koza-erc,100,98,32,78,118,167,196,196,248,543,1384,1384
ftg,nguyen7,koza-erc,100,65,44,59,59,76,76,173,201,347,1022,1000000000
ftg,nguyen7,koza-erc,100,78,44,44,44,103,103,103,103,632,2477,1000000000
ftg,nguyen7,koza-erc,100,37,10,10,32,46,104,104,328,559,607,1000000000
ftg,nguyen7,koza-erc,100,90,21,21,21,47,121,282,330,447,683,683
ftg,nguyen7,koza-erc,100,12,11,44,44,44,116,576,576,1667,1667,1000000000
ftg,nguyen7,koza-erc,100,45,10,10,34,64,64,100,217,322,623,1000000000
ftg,nguyen7,koza-erc,100,56,34,47,64,101,101,101,266,482,533,1000000000
ftg,nguyen7,koza-erc,100,14,10,10,49,103,150,352,352,352,352,352
ftg,nguyen7,koza-erc,100,47,32,45,45,60,118,141,343,1177,5219,5219
ftg,nguyen7,koza-erc,100,86,12,12,12,46,81,139,225,455,786,786
ftg,nguyen7,koza-erc,100,22,20,20,35,48,176,205,384,434,483,483
ftg,nguyen7,koza-erc,100,58,10,10,45,45,45,97,175,248,669,1000000000
ftg,nguyen7,koza-erc,100,87,10,10,31,97,146,172,269,541,909,909
ftg,nguyen7,koza-erc,100,61,19,19,45,61,145,346,508,629,629,629
ftg,nguyen7,koza-erc,100,46,31,77,77,77,77,237,466,708,708,708
ftg,nguyen7,koza-erc,100,32,10,10,33,81,81,103,272,365,481,1000000000
ftg,nguyen7,koza-erc,100,6,30,75,117,117,117,117,168,286,286,1000000000
ftg,nguyen7,koza-erc,100,63,30,30,30,30,59,59,79,214,414,1000000000
ftg,nguyen7,koza-erc,100,95,44,44,59,59,59,102,309,582,732,1000000000
ftg,nguyen7,koza-erc,100,26,60,60,60,77,264,423,469,512,512,512
ftg,nguyen7,koza-erc,100,30,47,62,79,119,119,402,457,457,457,1000000000
ftg,nguyen7,koza-erc,100,1,10,10,21,63,204,267,810,810,6655,6655
ftg,nguyen7,koza-erc,100,0,31,79,79,79,99,169,425,1193,1193,1193
ftg,nguyen7,koza-erc,100,41,31,31,31,171,201,231,304,404,458,458
ftg,nguyen7,koza-erc,100,34,21,21,32,61,197,350,429,429,2297,2297
ftg,nguyen7,koza-erc,100,18,10,10,33,83,104,186,254,378,1091,1091
ftg,nguyen7,koza-erc,100,94,43,95,95,95,199,261,414,414,1088,1088
ftg,nguyen7,koza-erc,100,2,11,11,11,100,204,269,490,490,490,490
ftg,nguyen7,koza-erc,100,10,19,19,19,76,95,206,366,464,1260,1000000000
ftg,nguyen4,koza-erc,100,42,60,60,122,202,202,202,304,4050,4050,4050
ftg,nguyen4,koza-erc,100,53,191,191,251,330,417,459,528,528,528,528
ftg,nguyen4,koza-erc,100,54,79,168,168,168,168,271,378,667,667,1000000000
ftg,nguyen4,koza-erc,100,5,59,118,491,491,491,491,616,710,710,710
ftg,nguyen4,koza-erc,100,17,98,123,123,147,234,234,265,302,871,1000000000
ftg,nguyen4,koza-erc,100,74,44,166,253,253,324,365,458,535,535,535
ftg,nguyen4,koza-erc,100,36,157,271,386,386,386,496,496,540,540,540
ftg,nguyen4,koza-erc,100,16,95,192,252,326,326,326,409,409,409,409
ftg,nguyen4,koza-erc,100,49,45,121,121,265,778,1759,1759,1759,1759,1759
ftg,nguyen4,koza-erc,100,60,232,298,335,372,372,469,1487,1487,1487,1487
ftg,nguyen4,koza-erc,100,24,175,303,303,422,469,512,512,512,512,512
ftg,nguyen4,koza-erc,100,80,59,77,162,219,325,369,569,569,569,569
ftg,nguyen4,koza-erc,100,9,199,295,332,504,504,504,504,504,504,504
ftg,nguyen4,koza-erc,100,44,100,170,170,293,455,498,498,498,498,498
ftg,nguyen4,koza-erc,100,91,30,141,141,141,301,336,419,879,879,879
ftg,nguyen4,koza-erc,100,23,48,102,102,236,597,597,668,668,668,668
ftg,nguyen4,koza-erc,100,13,61,122,171,198,376,416,552,552,552,552
ftg,nguyen4,koza-erc,100,31,124,149,265,265,463,463,463,551,1228,1228
ftg,nguyen4,koza-erc,100,57,59,99,99,126,241,365,408,1827,1827,1827
ftg,nguyen4,koza-erc,100,71,117,140,140,326,326,364,420,479,479,479
ftg,nguyen4,koza-erc,100,35,30,260,293,293,2126,2126,2126,2126,2126,2126
ftg,nguyen4,koza-erc,100,67,44,44,222,446,489,583,583,583,583,583
ftg,nguyen4,koza-erc,100,11,94,115,254,287,323,438,601,601,601,601
ftg,nguyen4,koza-erc,100,21,121,121,170,232,504,504,972,972,972,972
ftg,nguyen4,koza-erc,100,84,32,407,407,1999,1999,1999,1999,1999,5265,5265
ftg,nguyen4,koza-erc,100,83,30,142,142,295,418,418,100103,100103,1000000000,1000000000
ftg,nguyen4,koza-erc,100,62,227,258,258,258,418,459,691,691,691,691
ftg,nguyen4,koza-erc,100,73,59,121,121,262,434,478,12286,12286,12286,12286
ftg,nguyen4,koza-erc,100,28,117,165,165,281,2249,3262,3599,17768,17768,17768
ftg,nguyen4,koza-erc,100,27,98,119,119,119,119,361,466,574,734,734
ftg,nguyen4,koza-erc,100,92,64,122,122,122,199,199,269,269,658,1000000000
ftg,nguyen4,koza-erc,100,72,58,191,191,314,351,715,715,846,846,846
ftg,nguyen4,koza-erc,100,64,20,31,229,267,339,519,519,519,519,519
ftg,nguyen4,koza-erc,100,52,87,107,206,341,341,382,518,518,518,1000000000
ftg,nguyen4,koza-erc,100,7,143,224,328,367,445,489,542,542,542,542
ftg,nguyen4,koza-erc,100,51,78,143,326,326,459,504,504,504,504,504
ftg,nguyen4,koza-erc,100,82,64,230,332,410,410,456,525,525,525,525
ftg,nguyen4,koza-erc,100,3,61,429,503,1195,1195,1195,1195,1195,1195,1195
ftg,nguyen4,koza-erc,100,39,78,118,143,432,473,947,1588,1588,1588,1588
ftg,nguyen4,koza-erc,100,33,79,144,197,197,260,413,2143,2143,2143,2143
ftg,nguyen4,koza-erc,100,38,80,172,259,453,497,497,497,497,497,497
ftg,nguyen4,koza-erc,100,19,75,144,171,203,274,350,997,997,997,997
ftg,nguyen4,koza-erc,100,76,97,168,198,305,340,381,594,594,594,594
ftg,nguyen4,koza-erc,100,79,31,31,177,303,338,484,484,788,1007,1007
ftg,nguyen4,koza-erc,100,96,58,77,275,275,351,401,913,913,913,913
ftg,nguyen4,koza-erc,100,75,65,101,197,231,231,305,305,411,2085,2085
ftg,nguyen4,koza-erc,100,93,96,168,168,224,295,370,416,1606,1606,1606
ftg,nguyen4,koza-erc,100,48,78,97,203,414,457,690,690,690,690,690
ftg,nguyen4,koza-erc,100,68,78,121,197,404,404,448,494,494,494,494
ftg,nguyen4,koza-erc,100,70,180,208,237,373,501,546,546,546,546,546
ftg,nguyen4,koza-erc,100,50,81,100,100,180,313,427,477,477,605,605
ftg,nguyen4,koza-erc,100,89,32,124,149,149,149,343,385,385,385,1000000000
ftg,nguyen4,koza-erc,100,8,164,164,164,341,476,476,534,534,534,534
ftg,nguyen4,koza-erc,100,69,20,44,83,132,212,273,409,855,1202,1202
ftg,nguyen4,koza-erc,100,20,32,45,98,143,266,302,707,707,707,707
ftg,nguyen4,koza-erc,100,85,77,117,141,141,291,291,291,1149,1000000000,1000000000
ftg,nguyen4,koza-erc,100,15,44,77,143,203,350,547,547,547,595,595
ftg,nguyen4,koza-erc,100,59,58,166,166,166,294,378,435,549,713,1000000000
ftg,nguyen4,koza-erc,100,40,59,118,141,330,420,510,510,510,510,510
ftg,nguyen4,koza-erc,100,66,30,30,238,383,423,464,464,598,598,598
ftg,nguyen4,koza-erc,100,25,30,199,260,773,773,1387,18405,18405,18405,18405
ftg,nguyen4,koza-erc,100,97,47,47,102,231,296,296,296,998,998,1000000000
ftg,nguyen4,koza-erc,100,4,118,167,5156,5156,5156,7048,7048,7048,7048,7048
ftg,nguyen4,koza-erc,100,88,58,139,223,295,680,680,680,680,680,680
ftg,nguyen4,koza-erc,100,43,38,83,83,175,317,441,554,554,554,554
ftg,nguyen4,koza-erc,100,55,31,146,146,198,634,634,1045,1045,1045,1045
ftg,nguyen4,koza-erc,100,99,97,97,144,262,449,526,571,787,787,787
ftg,nguyen4,koza-erc,100,81,59,96,117,378,378,420,511,511,511,511
ftg,nguyen4,koza-erc,100,29,50,50,66,177,304,380,426,610,610,1000000000
ftg,nguyen4,koza-erc,100,77,118,118,142,237,419,520,520,520,520,520
ftg,nguyen4,koza-erc,100,98,166,222,253,286,405,448,448,448,600,600
ftg,nguyen4,koza-erc,100,65,76,141,141,141,488,688,1878,1878,1878,1878
ftg,nguyen4,koza-erc,100,78,103,125,236,1796,8040,8040,8040,8040,8040,1000000000
ftg,nguyen4,koza-erc,100,37,46,119,170,253,498,550,550,550,550,550
ftg,nguyen4,koza-erc,100,90,47,119,261,356,356,398,100017,1000000000,1000000000,1000000000
ftg,nguyen4,koza-erc,100,12,139,139,216,459,720,1080,1080,1080,1080,1080
ftg,nguyen4,koza-erc,100,45,100,203,232,426,467,467,467,467,1004,1004
ftg,nguyen4,koza-erc,100,56,99,120,143,143,174,1244,19347,19347,1000000000,1000000000
ftg,nguyen4,koza-erc,100,14,124,124,228,328,473,516,516,3419,3419,1000000000
ftg,nguyen4,koza-erc,100,47,45,96,118,225,225,225,469,698,698,698
ftg,nguyen4,koza-erc,100,86,45,45,146,236,355,355,493,652,652,652
ftg,nguyen4,koza-erc,100,22,20,99,202,335,501,501,501,501,1066,1066
ftg,nguyen4,koza-erc,100,58,32,60,258,407,407,407,486,486,532,532
ftg,nguyen4,koza-erc,100,87,78,97,170,412,451,545,965,965,965,965
ftg,nguyen4,koza-erc,100,61,100,100,191,253,405,482,41572,41572,41572,41572
ftg,nguyen4,koza-erc,100,46,260,260,333,411,453,504,504,504,504,504
ftg,nguyen4,koza-erc,100,32,102,231,231,370,424,577,577,944,944,944
ftg,nguyen4,koza-erc,100,6,117,117,166,327,406,406,805,805,7772,7772
ftg,nguyen4,koza-erc,100,63,30,77,123,319,1182,1623,1623,1623,1623,1623
ftg,nguyen4,koza-erc,100,95,59,255,288,288,468,513,513,513,513,513
ftg,nguyen4,koza-erc,100,26,30,30,187,187,187,1491,3534,3534,3534,1000000000
ftg,nguyen4,koza-erc,100,30,167,224,224,380,380,380,380,454,454,454
ftg,nguyen4,koza-erc,100,1,21,122,230,267,382,382,428,4557,4557,4557
ftg,nguyen4,koza-erc,100,0,120,260,333,502,502,502,502,502,502,502
ftg,nguyen4,koza-erc,100,41,31,79,119,362,362,726,1043,1043,1043,1043
